[10:14:10] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
[10:14:10] aa34e3cbb545   explorer.network1                                                                                                      0.20%     179MiB / 15.49GiB     1.13%     45.7MB / 16.6MB   71.8MB / 4.46MB   35
[10:14:10] 7b935b9620f4   explorerdb.network1                                                                                                    0.00%     49.83MiB / 15.49GiB   0.31%     5.3MB / 11.5MB    34.3MB / 14.1MB   9
[10:14:10] 01939dc4c435   dev-peer2.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.355MiB / 2GiB       0.21%     806kB / 486kB     0B / 0B           12
[10:14:10] 0e34c2adb81f   dev-peer1.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.5MiB / 2GiB         0.22%     804kB / 485kB     0B / 0B           12
[10:14:10] 5ca12c69d917   dev-peer2.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     10.93MiB / 2GiB       0.53%     945kB / 578kB     8.25MB / 0B       7
[10:14:10] 811783d53047   dev-peer1.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.504MiB / 2GiB       0.22%     810kB / 488kB     131kB / 0B        12
[10:14:10] aec494879a9f   dev-peer2.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.15MiB / 2GiB       0.54%     972kB / 598kB     8.25MB / 0B       7
[10:14:10] 180fa55f6019   dev-peer2.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.14MiB / 2GiB       0.54%     973kB / 595kB     8.26MB / 0B       7
[10:14:10] c63f0152c2b6   dev-peer1.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.11MiB / 2GiB       0.54%     975kB / 597kB     8.21MB / 0B       7
[10:14:10] 86d6bb360a35   dev-peer2.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.367MiB / 2GiB       0.21%     810kB / 486kB     0B / 0B           12
[10:14:10] eef402e7de3c   dev-peer1.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.66MiB / 2GiB        0.23%     811kB / 486kB     205kB / 0B        12
[10:14:10] afd5fda810c1   dev-peer1.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.49MiB / 2GiB       0.56%     1.04MB / 623kB    8.27MB / 0B       7
[10:14:10] e2ee1bd16adf   dev-peer2.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.66MiB / 2GiB        0.23%     811kB / 485kB     197kB / 0B        12
[10:14:10] 8ad7b24c249f   dev-peer1.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.16MiB / 2GiB       0.54%     958kB / 585kB     8.27MB / 0B       7
[10:14:10] 17610af052b5   network1                                                                                                               0.00%     23.48MiB / 15.49GiB   0.15%     518kB / 81.3kB    24.5MB / 0B       1
[10:14:10] d995ae7fc50e   ca1.org3.digiprism.com                                                                                                 0.00%     4.605MiB / 15.49GiB   0.03%     400kB / 23.2kB    442kB / 77.8kB    13
[10:14:10] 71f7a3baaa1c   ca1.org2.digiprism.com                                                                                                 0.00%     4.422MiB / 15.49GiB   0.03%     389kB / 0B        197kB / 0B        13
[10:14:10] 914cc255f711   ca1.org1.digiprism.com                                                                                                 0.00%     4.023MiB / 15.49GiB   0.03%     391kB / 0B        197kB / 336kB     13
[10:14:10] c9d218e57b7e   orderer3.digiprism.com                                                                                                 0.43%     51.86MiB / 15.49GiB   0.33%     83.5MB / 82.3MB   31.7MB / 2.1MB    14
[10:14:10] c534cf5d1cdb   orderer2.digiprism.com                                                                                                 0.57%     56.87MiB / 15.49GiB   0.36%     84.9MB / 85.2MB   31.7MB / 2.1MB    14
[10:14:10] 32b927f658fc   orderer1.digiprism.com                                                                                                 0.04%     64.36MiB / 15.49GiB   0.41%     163MB / 164MB     31.7MB / 2.1MB    14
[10:14:10] b2af7093fd67   peer2.org3.digiprism.com                                                                                               0.19%     103.4MiB / 15.49GiB   0.65%     239MB / 238MB     9.89MB / 3.86MB   15
[10:14:10] 5aade1ddfd5f   peer1.org3.digiprism.com                                                                                               0.19%     107.6MiB / 15.49GiB   0.68%     238MB / 240MB     14.3MB / 3.88MB   14
[10:14:10] 5539e7d946fd   peer2.org2.digiprism.com                                                                                               0.20%     109.9MiB / 15.49GiB   0.69%     239MB / 238MB     10.9MB / 4.29MB   14
[10:14:10] 6f0248b179db   peer1.org2.digiprism.com                                                                                               0.19%     123.1MiB / 15.49GiB   0.78%     238MB / 239MB     9.06MB / 4.32MB   14
[10:14:10] 95d072f44669   peer2.org1.digiprism.com                                                                                               0.18%     120.1MiB / 15.49GiB   0.76%     239MB / 238MB     11MB / 4.32MB     14
[10:14:10] 76f27d06fa8d   peer1.org1.digiprism.com                                                                                               0.18%     139MiB / 15.49GiB     0.88%     242MB / 278MB     11.8MB / 4.3MB    15
[10:14:10] 0dedab4b2e6e   peer2.org3.digiprism.com.couchdb                                                                                       0.06%     80.09MiB / 15.49GiB   0.51%     1.07MB / 734kB    9.81MB / 13.3MB   35
[10:14:10] 1758ec2bbecd   peer1.org3.digiprism.com.couchdb                                                                                       0.06%     83.03MiB / 15.49GiB   0.52%     1.08MB / 736kB    7.95MB / 12.9MB   35
[10:14:10] 5c01f7f083ec   peer2.org2.digiprism.com.couchdb                                                                                       0.07%     79.27MiB / 15.49GiB   0.50%     1.21MB / 872kB    7MB / 13.3MB      35
[10:14:10] 0cd8ea2f6ed1   peer1.org2.digiprism.com.couchdb                                                                                       7.66%     79.13MiB / 15.49GiB   0.50%     1.21MB / 870kB    8.8MB / 13.7MB    35
[10:14:10] c69ce4b76cd2   peer2.org1.digiprism.com.couchdb                                                                                       8.36%     83.09MiB / 15.49GiB   0.52%     1.21MB / 871kB    7.71MB / 13.2MB   35
[10:14:10] aa7eb6ae709e   peer1.org1.digiprism.com.couchdb                                                                                       0.07%     81.69MiB / 15.49GiB   0.52%     1.48MB / 1.43MB   13.9MB / 14MB     35
[10:14:11] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
[10:14:11] aa34e3cbb545   explorer.network1                                                                                                      0.20%     179MiB / 15.49GiB     1.13%     45.7MB / 16.6MB   71.8MB / 4.46MB   35
[10:14:11] 7b935b9620f4   explorerdb.network1                                                                                                    0.00%     49.83MiB / 15.49GiB   0.31%     5.3MB / 11.5MB    34.3MB / 14.1MB   9
[10:14:11] 01939dc4c435   dev-peer2.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.355MiB / 2GiB       0.21%     806kB / 486kB     0B / 0B           12
[10:14:11] 0e34c2adb81f   dev-peer1.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.5MiB / 2GiB         0.22%     804kB / 485kB     0B / 0B           12
[10:14:11] 5ca12c69d917   dev-peer2.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     10.93MiB / 2GiB       0.53%     945kB / 578kB     8.25MB / 0B       7
[10:14:11] 811783d53047   dev-peer1.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.504MiB / 2GiB       0.22%     810kB / 488kB     131kB / 0B        12
[10:14:11] aec494879a9f   dev-peer2.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.15MiB / 2GiB       0.54%     972kB / 598kB     8.25MB / 0B       7
[10:14:11] 180fa55f6019   dev-peer2.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.14MiB / 2GiB       0.54%     973kB / 595kB     8.26MB / 0B       7
[10:14:11] c63f0152c2b6   dev-peer1.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.11MiB / 2GiB       0.54%     975kB / 597kB     8.21MB / 0B       7
[10:14:11] 86d6bb360a35   dev-peer2.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.367MiB / 2GiB       0.21%     810kB / 486kB     0B / 0B           12
[10:14:11] eef402e7de3c   dev-peer1.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.66MiB / 2GiB        0.23%     811kB / 486kB     205kB / 0B        12
[10:14:11] afd5fda810c1   dev-peer1.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.49MiB / 2GiB       0.56%     1.04MB / 623kB    8.27MB / 0B       7
[10:14:11] e2ee1bd16adf   dev-peer2.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.66MiB / 2GiB        0.23%     811kB / 485kB     197kB / 0B        12
[10:14:11] 8ad7b24c249f   dev-peer1.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.16MiB / 2GiB       0.54%     958kB / 585kB     8.27MB / 0B       7
[10:14:11] 17610af052b5   network1                                                                                                               0.00%     23.48MiB / 15.49GiB   0.15%     518kB / 81.3kB    24.5MB / 0B       1
[10:14:11] d995ae7fc50e   ca1.org3.digiprism.com                                                                                                 0.00%     4.605MiB / 15.49GiB   0.03%     400kB / 23.2kB    442kB / 77.8kB    13
[10:14:11] 71f7a3baaa1c   ca1.org2.digiprism.com                                                                                                 0.00%     4.422MiB / 15.49GiB   0.03%     389kB / 0B        197kB / 0B        13
[10:14:11] 914cc255f711   ca1.org1.digiprism.com                                                                                                 0.00%     4.023MiB / 15.49GiB   0.03%     391kB / 0B        197kB / 336kB     13
[10:14:11] c9d218e57b7e   orderer3.digiprism.com                                                                                                 0.43%     51.86MiB / 15.49GiB   0.33%     83.5MB / 82.3MB   31.7MB / 2.1MB    14
[10:14:11] c534cf5d1cdb   orderer2.digiprism.com                                                                                                 0.57%     56.87MiB / 15.49GiB   0.36%     84.9MB / 85.2MB   31.7MB / 2.1MB    14
[10:14:11] 32b927f658fc   orderer1.digiprism.com                                                                                                 0.04%     64.36MiB / 15.49GiB   0.41%     163MB / 164MB     31.7MB / 2.1MB    14
[10:14:11] b2af7093fd67   peer2.org3.digiprism.com                                                                                               0.19%     103.4MiB / 15.49GiB   0.65%     239MB / 238MB     9.89MB / 3.86MB   15
[10:14:11] 5aade1ddfd5f   peer1.org3.digiprism.com                                                                                               0.19%     107.6MiB / 15.49GiB   0.68%     238MB / 240MB     14.3MB / 3.88MB   14
[10:14:11] 5539e7d946fd   peer2.org2.digiprism.com                                                                                               0.20%     109.9MiB / 15.49GiB   0.69%     239MB / 238MB     10.9MB / 4.29MB   14
[10:14:11] 6f0248b179db   peer1.org2.digiprism.com                                                                                               0.19%     123.1MiB / 15.49GiB   0.78%     238MB / 239MB     9.06MB / 4.32MB   14
[10:14:11] 95d072f44669   peer2.org1.digiprism.com                                                                                               0.18%     120.1MiB / 15.49GiB   0.76%     239MB / 238MB     11MB / 4.32MB     14
[10:14:11] 76f27d06fa8d   peer1.org1.digiprism.com                                                                                               0.18%     139MiB / 15.49GiB     0.88%     242MB / 278MB     11.8MB / 4.3MB    15
[10:14:11] 0dedab4b2e6e   peer2.org3.digiprism.com.couchdb                                                                                       0.06%     80.09MiB / 15.49GiB   0.51%     1.07MB / 734kB    9.81MB / 13.3MB   35
[10:14:11] 1758ec2bbecd   peer1.org3.digiprism.com.couchdb                                                                                       0.06%     83.03MiB / 15.49GiB   0.52%     1.08MB / 736kB    7.95MB / 12.9MB   35
[10:14:11] 5c01f7f083ec   peer2.org2.digiprism.com.couchdb                                                                                       0.07%     79.27MiB / 15.49GiB   0.50%     1.21MB / 872kB    7MB / 13.3MB      35
[10:14:11] 0cd8ea2f6ed1   peer1.org2.digiprism.com.couchdb                                                                                       7.66%     79.13MiB / 15.49GiB   0.50%     1.21MB / 870kB    8.8MB / 13.7MB    35
[10:14:11] c69ce4b76cd2   peer2.org1.digiprism.com.couchdb                                                                                       8.36%     83.09MiB / 15.49GiB   0.52%     1.21MB / 871kB    7.71MB / 13.2MB   35
[10:14:11] aa7eb6ae709e   peer1.org1.digiprism.com.couchdb                                                                                       0.07%     81.69MiB / 15.49GiB   0.52%     1.48MB / 1.43MB   13.9MB / 14MB     35
[10:14:11] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
[10:14:11] aa34e3cbb545   explorer.network1                                                                                                      0.00%     179MiB / 15.49GiB     1.13%     45.7MB / 16.6MB   71.8MB / 4.46MB   35
[10:14:11] 7b935b9620f4   explorerdb.network1                                                                                                    0.00%     49.83MiB / 15.49GiB   0.31%     5.3MB / 11.5MB    34.3MB / 14.1MB   9
[10:14:11] 01939dc4c435   dev-peer2.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.355MiB / 2GiB       0.21%     806kB / 486kB     0B / 0B           12
[10:14:11] 0e34c2adb81f   dev-peer1.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.5MiB / 2GiB         0.22%     805kB / 485kB     0B / 0B           12
[10:14:11] 5ca12c69d917   dev-peer2.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     10.93MiB / 2GiB       0.53%     945kB / 578kB     8.25MB / 0B       7
[10:14:11] 811783d53047   dev-peer1.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.504MiB / 2GiB       0.22%     810kB / 488kB     131kB / 0B        12
[10:14:11] aec494879a9f   dev-peer2.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.15MiB / 2GiB       0.54%     972kB / 598kB     8.25MB / 0B       7
[10:14:11] 180fa55f6019   dev-peer2.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.14MiB / 2GiB       0.54%     973kB / 595kB     8.26MB / 0B       7
[10:14:11] c63f0152c2b6   dev-peer1.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.11MiB / 2GiB       0.54%     975kB / 597kB     8.21MB / 0B       7
