[18:11:22] [2J[HCONTAINER ID   NAME                                                                                                                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
[18:11:22] ec7b8640253d   dev-peer1.org3.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.391MiB / 2GiB       0.17%     216kB / 171kB     0B / 0B           7
[18:11:22] b8a8246aec46   dev-peer2.org1.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.688MiB / 2GiB       0.18%     253kB / 198kB     0B / 0B           7
[18:11:22] 934735486d7b   dev-peer1.org2.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.629MiB / 2GiB       0.18%     242kB / 190kB     0B / 0B           7
[18:11:22] 74758e0a679d   dev-peer1.org1.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.703MiB / 2GiB       0.18%     241kB / 190kB     0B / 0B           7
[18:11:22] 581d41f04dcc   dev-peer2.org3.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.922MiB / 2GiB       0.19%     267kB / 210kB     0B / 0B           8
[18:11:22] 58459e16b961   dev-peer2.org2.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.00%     3.531MiB / 2GiB       0.17%     241kB / 191kB     0B / 0B           7
[18:11:22] 35431a70e963   dev-peer1.org1.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.344MiB / 2GiB       0.21%     71.7kB / 70.5kB   0B / 0B           12
[18:11:22] 113f0349b911   dev-peer1.org2.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.48MiB / 2GiB        0.22%     71.4kB / 70kB     0B / 0B           12
[18:11:22] b023b5612595   dev-peer2.org3.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.52MiB / 2GiB        0.22%     74.3kB / 71.7kB   0B / 0B           12
[18:11:22] 325f2e21fedb   dev-peer2.org1.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.422MiB / 2GiB       0.22%     74.1kB / 71.4kB   0B / 0B           12
