[15:03:31] [2J[HCONTAINER ID   NAME                                                                                                                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31] 934735486d7b   dev-peer1.org2.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.01%     5.953MiB / 2GiB       0.29%     64.7MB / 27.2MB   3.66MB / 0B      12
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31] 581d41f04dcc   dev-peer2.org3.identity.com-identitychaincode2_1.0-db01f16dbc530a8776093f66fbf782e845f2199fef5f922b5aab794c305ca310   0.01%     6.641MiB / 2GiB       0.32%     42.9MB / 21.7MB   3.98MB / 0B      12
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31] 35431a70e963   dev-peer1.org1.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.945MiB / 2GiB       0.24%     3.56MB / 3.82MB   2.02MB / 0B      12
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31] 325f2e21fedb   dev-peer2.org1.identity.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.898MiB / 2GiB       0.29%     3.56MB / 3.82MB   2.06MB / 0B      12
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31] 80356d8579e7   orderer3.identity.com                                                                                                 0.53%     40.23MiB / 15.49GiB   0.25%     805MB / 887MB     3.69MB / 271MB   15
[15:03:31] 0d70ef5caadc   orderer2.identity.com                                                                                                 0.88%     42.87MiB / 15.49GiB   0.27%     1.46GB / 1.53GB   5.59MB / 274MB   15
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31] 8faec6f34f3c   peer1.org3.identity.com                                                                                               --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
[15:03:31]                --                                                                                                                    --        -- / --               --        --                --               --
